Asset,Strategy,RoundTripCost,Annualised Return,Annualised Volatility,Sharpe,Sortino,Skew,Max Drawdown,Avg |Δw|
USO,VC_CONTRARIAN,0.0,-0.16451634083212152,0.37203935897287066,-0.2945676556635479,-0.39351044806749896,-0.5562266394465929,-0.9824485778401372,0.19529675251959686
USO,VC_CONTRARIAN,0.0002,-0.16862734546970481,0.37206083823382335,-0.30777530499136063,-0.4112320476012366,-0.5555513848701326,-0.9833698222467891,0.19529675251959686
USO,VC_CONTRARIAN,0.001,-0.1848781443655516,0.37217060910579114,-0.3605675445123765,-0.48213892403248393,-0.552774026842241,-0.9865974255835592,0.19529675251959686
USO,VC_FLAT,0.0,-0.024704821662965615,0.20526128439703306,-0.019003807877715648,-0.02064972006481809,-0.20784736543555302,-0.596017905660523,0.1135498320268757
USO,VC_FLAT,0.0002,-0.027494487291611303,0.205273763910709,-0.03293923651820161,-0.035511967099923526,-0.2106263097564536,-0.6067230382493023,0.1135498320268757
USO,VC_FLAT,0.001,-0.0385778905254891,0.20534383413180302,-0.0886553098878979,-0.09574217276217203,-0.22171543073246094,-0.6467957704866552,0.1135498320268757
UUP,BH,0.0,0.020501922833747965,0.0803195605148149,0.29283853284570444,0.4288962928259166,-0.03845255757829844,-0.22190949317778674,0.0
UUP,BH,0.0002,0.020501922833747965,0.0803195605148149,0.29283853284570444,0.4288962928259166,-0.03845255757829844,-0.22190949317778674,0.0
UUP,BH,0.001,0.020501922833747965,0.0803195605148149,0.29283853284570444,0.4288962928259166,-0.03845255757829844,-0.22190949317778674,0.0
UUP,TSMOM,0.0,0.012428507126491573,0.08032723271903687,0.19394102335699565,0.2819006378845051,-0.08992637740218656,-0.2396744792084563,0.10078387458006718
UUP,TSMOM,0.0002,0.009860782552859382,0.08033133809790374,0.16232221537372565,0.23594153834313372,-0.0889537206158895,-0.2440720546621582,0.10078387458006718
UUP,TSMOM,0.001,-0.00035023870182349093,0.08040776911821003,0.03585251753269182,0.052115282837589476,-0.08522285865708458,-0.2614180507820165,0.10078387458006718
UUP,VC_CONTRARIAN,0.0,0.0035776101618141265,0.08033208677622429,0.08462961410252036,0.12319003268038783,-0.10678445461617046,-0.32592885177211894,0.193505039193729
UUP,VC_CONTRARIAN,0.0002,-0.0013039977434622374,0.0803422857026319,0.02393805923474212,0.034834150834360256,-0.10486769546889531,-0.3428390603946866,0.193505039193729
UUP,VC_CONTRARIAN,0.001,-0.020603688973367618,0.08049258499485588,-0.21837666222038568,-0.31775822894330036,-0.09744966255435476,-0.4063729709006785,0.193505039193729
UUP,VC_FLAT,0.0,0.009899149302751153,0.05171703562924576,0.21634282542127545,0.23020366159009498,-0.31081806751801455,-0.19566610808896678,0.10817469204927212
UUP,VC_FLAT,0.0002,0.007150186232787403,0.051724954039469494,0.1636196284380656,0.17351921519000052,-0.3123656359300651,-0.206851985278803,0.10817469204927212
UUP,VC_FLAT,0.001,-0.003775053015893426,0.05182861965227173,-0.0470463935478984,-0.05047153645402676,-0.31804493665787953,-0.2502515512743402,0.10817469204927212
VGK,BH,0.0,0.04868128266621152,0.23770017312005584,0.3193550200341147,0.3958290497715288,-0.33609977350888665,-0.6098812479102773,0.0
VGK,BH,0.0002,0.04868128266621152,0.23770017312005584,0.3193550200341147,0.3958290497715288,-0.33609977350888665,-0.6098812479102773,0.0
